id,naziv,oznaka_drzave,datum_otvorenja,podloga,duljina_km,broj_zavoja,url,kapacitet_gledatelja,rekord_vrijeme,rekord_vozilo,rekord_vozac_ime,rekord_vozac_prezime,rekord_vozac_datum_rodenja,rekord_vozac_oznaka_drzave,natjecanja_naziv,natjecanja_godina
1,Automotodrom Grobnik,HRV,1978-09-14,asfalt,4.168,18,https://grobnik.hr,40000,00:01:16.388,Minardi M190,Josef,Neuhauser,,AUT,FIM Sidecar World Championship,2021
1,Automotodrom Grobnik,HRV,1978-09-14,asfalt,4.168,18,https://grobnik.hr,40000,00:01:16.388,Minardi M190,Josef,Neuhauser,,AUT,FIM Sidecar World Championship,2022
2,Nürburgring GP-Strecke,DEU,1984-05-12,asfalt,5.148,15,https://www.nuerburgring.de,150000,00:01:28.139,Red Bull Racing RB16,Max,Verstappen,1997-09-30,NED,GT World Challenge Europe,2020
2,Nürburgring GP-Strecke,DEU,1984-05-12,asfalt,5.148,15,https://www.nuerburgring.de,150000,00:01:28.139,Red Bull Racing RB16,Max,Verstappen,1997-09-30,NED,GT World Challenge Europe,2021
2,Nürburgring GP-Strecke,DEU,1984-05-12,asfalt,5.148,15,https://www.nuerburgring.de,150000,00:01:28.139,Red Bull Racing RB16,Max,Verstappen,1997-09-30,NED,GT World Challenge Europe,2023
2,Nürburgring GP-Strecke,DEU,1984-05-12,asfalt,5.148,15,https://www.nuerburgring.de,150000,00:01:28.139,Red Bull Racing RB16,Max,Verstappen,1997-09-30,NED,DTM,2020
2,Nürburgring GP-Strecke,DEU,1984-05-12,asfalt,5.148,15,https://www.nuerburgring.de,150000,00:01:28.139,Red Bull Racing RB16,Max,Verstappen,1997-09-30,NED,DTM,2021
2,Nürburgring GP-Strecke,DEU,1984-05-12,asfalt,5.148,15,https://www.nuerburgring.de,150000,00:01:28.139,Red Bull Racing RB16,Max,Verstappen,1997-09-30,NED,DTM,2022
2,Nürburgring GP-Strecke,DEU,1984-05-12,asfalt,5.148,15,https://www.nuerburgring.de,150000,00:01:28.139,Red Bull Racing RB16,Max,Verstappen,1997-09-30,NED,DTM,2023
2,Nürburgring GP-Strecke,DEU,1984-05-12,asfalt,5.148,15,https://www.nuerburgring.de,150000,00:01:28.139,Red Bull Racing RB16,Max,Verstappen,1997-09-30,NED,Nürburgring 24 Hours ,2020
2,Nürburgring GP-Strecke,DEU,1984-05-12,asfalt,5.148,15,https://www.nuerburgring.de,150000,00:01:28.139,Red Bull Racing RB16,Max,Verstappen,1997-09-30,NED,Nürburgring 24 Hours ,2021
2,Nürburgring GP-Strecke,DEU,1984-05-12,asfalt,5.148,15,https://www.nuerburgring.de,150000,00:01:28.139,Red Bull Racing RB16,Max,Verstappen,1997-09-30,NED,Nürburgring 24 Hours ,2022
2,Nürburgring GP-Strecke,DEU,1984-05-12,asfalt,5.148,15,https://www.nuerburgring.de,150000,00:01:28.139,Red Bull Racing RB16,Max,Verstappen,1997-09-30,NED,Nürburgring 24 Hours ,2023
